Question,Answer
"1. What is the definition of a ""certified copy"" or ""certified extract"" according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, a ""certified copy"" or ""certified extract"" means a copy of extract, as the case may be, certified in the manner prescribed by section 76 of the Indian Evidence Act, 1872."
"2. What is the definition of ""farm building"" as per the code?","According to the Maharashtra Land Revenue Code, 1966, the definition of ""farm building"" is a structure erected on land assessed or held for the purpose of agriculture for various purposes connected with the land, such as storage of agricultural implements, manures, or fodder, storage of agricultural produce, sheltering cattle, residence of family members, servants, or tenants of the holder, or for any other purpose that is an integral part of the cultivating arrangement."
"3. What is the meaning of ""gaothan"" or ""village site"" in the context of the code?","In the context of the Maharashtra Land Revenue Code of 1966, ""gaothan"" or ""village site"" refers to the land included within the site of a village, town, or city as determined by section 122 of the code."
"4. Who is considered a ""Government lessee"" under the Maharashtra Land Revenue Code, 1966?","A ""Government lessee"" under the Maharashtra Land Revenue Code, 1966 is a person holding land from the Government under a lease as provided by section 38 of the code."
"5. How is ""improvement"" defined in relation to a holding according to the code?","According to the Maharashtra Land Revenue Code of 1966, ""improvement"" in relation to a holding means any work that adds materially to the value of the holding, is suitable for the purpose for which it is held, and is consistent with that purpose. This includes various types of construction, planting of trees, land reclamation, and other works that directly benefit the holding. It specifically excludes temporary wells, minor repairs commonly done by cultivators, and any work that substantially diminishes the value of another person's land."
"6. What does it mean to ""hold land"" or ""to be a land holder or holder of land"" under the code?","To ""hold land"" or ""to be a land holder or holder of land"" under the Maharashtra Land Revenue Code, 1966 means to be lawfully in possession of land, whether that possession is actual or not."
"7. What is the definition of an ""estate"" as per the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, an ""estate"" is defined as any interest in lands and the aggregate of such interests vested in a person or aggregate of persons capable of holding the same."
"8. What is the significance of a ""Chavadi"" in the context of the code?","In the context of the Maharashtra Land Revenue Code of 1966, a ""Chavadi"" is defined as the place ordinarily used by a village officer for the transaction of village business. It is a location where village-related administrative activities and transactions take place."
"9. What does the term ""holding"" refer to in the code?","In the Maharashtra Land Revenue Code of 1966, the term ""holding"" refers to a portion of land held by a holder."
"10. How does the code define an ""improvement"" in relation to a holding?","In relation to a holding, the Maharashtra Land Revenue Code of 1966 defines an ""improvement"" as any work that materially adds value to the holding, is suitable for the purpose for which it is held, and directly benefits the holding. This includes various activities such as construction of water storage facilities, drainage works, planting of trees, and construction of buildings for convenient or profitable use. However, it does not include temporary works commonly done by cultivators or any work that substantially diminishes the value of another person's land."
"1. What is the definition of ""joint holders"" or ""joint occupants"" according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, ""joint holders"" or ""joint occupants"" means holders or occupants who hold land as co-sharers, whether as co-shares in any family undivided according to Hindu law or otherwise, and whose shares are not divided by metes and bounds."
"2. How is ""land"" defined in the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, ""land"" is defined as including benefits arising from the land, things attached to the earth, shares in or charges on revenue or rent of villages, or other defined portions of territory."
"3. What does the term ""landlord"" refer to in the context of the Maharashtra Land Revenue Code, 1966?","In the context of the Maharashtra Land Revenue Code, 1966, the term ""landlord"" refers to a lessor."
"4. What is included in the term ""land records"" as per the Maharashtra Land Revenue Code, 1966?","As per the Maharashtra Land Revenue Code, 1966, ""land records"" include records maintained under the provisions of, or for the purposes of, this Code. This also includes a copy of maps and plans or a final town planning scheme, improvement scheme, or a scheme of consolidation of holdings which has come into force in any area under any law in force in the State and forwarded to any revenue or survey officer under such law or otherwise."
"5. How is ""land revenue"" defined in the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, ""land revenue"" is defined as all sums and payments, in money received or legally claimable by or on behalf of the State Government from any person on account of any land or interest in or right exercisable over land held by or vested in him, under whatever designation such sum may be payable. It also includes any cess or rate authorized by the State Government under the provisions of any law for the time being in force."
"6. What is the meaning of ""legal practitioner"" as per the Maharashtra Land Revenue Code, 1966?","As per the Maharashtra Land Revenue Code, 1966, the term ""legal practitioner"" has the meaning assigned to it in the Advocates Act, 1961."
"7. What is the definition of ""non-agricultural assessment"" in the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, ""non-agricultural assessment"" means the assessment fixed on any land under the provisions of this Code or rules thereunder with reference to the use of the land for a non-agricultural purpose."
"8. Who is considered an ""occupant"" according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, an ""occupant"" is defined as a holder in actual possession of unalienated land, other than a tenant or Government lessee. If a holder in actual possession is a tenant, the land holder or the superior landlord, as the case may be, shall be deemed to be the occupant."
"9. What does ""occupation"" refer to in the context of the Maharashtra Land Revenue Code, 1966?","In the context of the Maharashtra Land Revenue Code, 1966, ""occupation"" refers to possession."
"10. What is the definition of ""pardi land"" as per the Maharashtra Land Revenue Code, 1966?","The definition of ""pardi land"" as per the Maharashtra Land Revenue Code, 1966 is: ""a cultivated land appertaining to a house within a village site."""
"1. What is the definition of ""relevant tenancy law"" in the Maharashtra Land Revenue Code, 1966?","The definition of ""relevant tenancy law"" in the Maharashtra Land Revenue Code, 1966 includes the following:
(a) In the Bombay area of the State of Maharashtra, the Bombay Tenancy and Agricultural Lands Act, 1948.
(b) In the Hyderabad area of the State of Maharashtra, the Hyderabad Tenancy and Agricultural Lands Act, 1950.
(c) In the Vidarbha Region of the State of Maharashtra, the Bombay Tenancy and Agricultural Lands (Vidarbha Region) Act, 1958."
"2. Who is considered a ""revenue officer"" according to the Code?","According to the Maharashtra Land Revenue Code, 1966, a ""revenue officer"" is defined as an officer of any rank whatsoever appointed under any of the provisions of the Code and employed in or about the business of the land revenue or of the surveys, assessment, accounts, or records connected therewith."
"3. How is a ""revenue year"" defined in the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, a ""revenue year"" is defined as the year commencing on such date as the State Government may appoint by notification in the Official Gazette."
"4. What is the meaning of ""saza"" in the context of the Code?","In the context of the Maharashtra Land Revenue Code, 1966, ""saza"" means a group of villages in a taluka which is constituted as a saza under section 4 of the Code."
"5. What is the definition of a ""storage device"" as per the Code?","The definition of a ""storage device"" as per the Maharashtra Land Revenue Code, 1966 is: ""an Electronic Device for retention of data in computer and shall include both hardware and software."""
"6. Who is a ""Sub-Divisional Officer"" in the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, a ""Sub-Divisional Officer"" is defined as an Assistant or Deputy Collector who is placed in charge of one or more sub-divisions of a district."
"7. What is a ""survey mark"" according to the Code?","According to the Maharashtra Land Revenue Code, 1966, a ""survey mark"" is a mark erected for the purposes of cadastral survey of land."
"8. How is a ""survey number"" defined in the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, a ""survey number"" is defined as a portion of land of which the area and assessment are separately entered under an indicative number in the land records. This definition also includes plots reconstituted under final town planning schemes, improvement schemes, or schemes of consolidation of holdings that have come into force in any area under any law. Additionally, in specific districts like Nagpur, Wardha, Chanda, and Bhandara, any portion of land entered in the land records under an indicative number known as the khasra number is also considered a survey number."
9. Which areas in Maharashtra are covered under the relevant tenancy laws mentioned in the Code?,"The relevant tenancy laws mentioned in the Maharashtra Land Revenue Code, 1966 cover the following areas in Maharashtra:
- Bombay area of the State of Maharashtra
- Hyderabad area of the State of Maharashtra
- Vidarbha Region of the State of Maharashtra"
10. How are plots reconstituted under town planning schemes treated in the land records according to the Code?,Plots reconstituted under town planning schemes are treated in the land records under an indicative number as a survey number.
"1. What is the definition of a ""superior holder"" according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, a ""superior holder"" is defined as a land-holder entitled to receive rent or land revenue from other land-holders, whether accountable or not for such rent or land revenue, to the State Government."
"2. Who is considered a ""tenant"" under the Maharashtra Land Revenue Code, 1966?","Under the Maharashtra Land Revenue Code, 1966, a ""tenant"" is defined as a lessee, whether holding under an instrument or under an oral agreement, and includes a mortgagee of a tenant's rights with possession. However, it does not include a lessee holding directly under the State Government."
"3. What is the definition of ""unoccupied land"" in the context of the Maharashtra Land Revenue Code, 1966?","In the context of the Maharashtra Land Revenue Code, 1966, ""unoccupied land"" means the land in a village other than the land held by an occupant, a tenant, or a Government lessee."
"4. How is an ""urban area"" defined under the Maharashtra Land Revenue Code, 1966?","An ""urban area"" is defined under the Maharashtra Land Revenue Code, 1966 as an area included within the limits of any municipal corporation or municipal council constituted under the relevant law for the time being in force. The expression ""non-urban area"" is construed accordingly."
"5. What is the significance of ""wada land"" in the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, ""wada land"" is defined as an open land in a village site used for tethering cattle or storing crops, fodder, manure, or other similar things. The significance of ""wada land"" lies in its specific designation within the code, indicating its purpose and usage within the context of land management and revenue regulations in Maharashtra."
