Question,Answer
7. How does the Collector handle objections and statements made by individuals regarding the proposal to extinguish public rights in a government road?,"The Collector handles objections and statements made by individuals regarding the proposal to extinguish public rights in a government road by allowing them to state their objections in writing within ninety days of the notification being issued. The Collector then gives every person who has made a statement an opportunity to be heard either in person or by a legal practitioner. After hearing all such persons, the Collector makes a decision based on the objections and statements received."
"8. What is the timeline for making objections and statements regarding the proposal under the Maharashtra Land Revenue Code, 1966?","Under the Maharashtra Land Revenue Code, 1966, the timeline for making objections and statements regarding the proposal is within ninety days after the issue of the notification under sub-section (1). However, the Collector may allow a person to make such a statement after the ninety-day period if there is a valid reason for not doing so within that timeframe."
9. What are the provisions for compensation for individuals whose interests or rights are adversely affected by the proposal to extinguish public rights in a government road?,"Individuals who have interests or rights that are likely to be adversely affected by the proposal to extinguish public rights in a government road have the right to state their objections in writing to the Collector within ninety days of the notification. They can specify the nature of their interest or right, how it will be affected, and provide details of their claim for compensation. The Collector must give these individuals an opportunity to be heard, either in person or through a legal practitioner, and consider their objections before making a decision. If a person has a valid reason for not submitting their objections within the ninety-day period, the Collector may allow them to do so later."
"10. How does the Maharashtra Land Revenue Code, 1966 ensure transparency and fairness in the process of extinguishing public rights in government roads?","The Maharashtra Land Revenue Code, 1966 ensures transparency and fairness in the process of extinguishing public rights in government roads by requiring the Collector to publish a notification in the Official Gazette declaring that the public road is not required for public use. This notification must specify the situation and limits of the road. Additionally, the Collector must give public notice of the declaration and invite objections to the proposal. Any member of the public or person with an interest in the road can state their objections in writing within a specified period. The Collector must then provide an opportunity for these individuals to be heard, either in person or through a legal practitioner. This process allows for transparency, public participation, and the opportunity for affected parties to voice their concerns and claim compensation if necessary."
"1. What is the Maharashtra Land Revenue Code, 1966 about?","The Maharashtra Land Revenue Code, 1966 is a piece of legislation that governs various aspects related to land revenue in the state of Maharashtra. It includes provisions related to the assignment of lands for special purposes, regulation of land use, compensation for loss or damage caused by extinguishing public rights over government roads, setting apart unoccupied lands for specific purposes, grazing rights on free pasturage lands, and penalties for unauthorized removal of natural products from certain lands."
2. How does the Code regulate the use of pasturage lands?,"The Maharashtra Land Revenue Code, 1966 regulates the use of pasturage lands by assigning them for specific purposes such as free pasturage of village cattle. The right of grazing on these lands is limited to the cattle of the village or villages to which the lands belong or have been assigned. The rules for regulating this right of grazing are made by the State Government. Any disputes regarding the right of grazing are decided by the Collector, and his decision is conclusive, subject to one appeal according to the provisions of the Code."
3. What is the process for extinguishing public rights over a Government road according to the Code?,"According to the Maharashtra Land Revenue Code, 1966, the process for extinguishing public rights over a Government road involves the Collector conducting an inquiry to determine if the road is not required for public use. If the Collector is satisfied that the road is not needed for public use, a declaration is made and published in the Official Gazette stating that all public rights over the road are extinguished. The Collector also determines any compensation that should be given for substantial loss or damage likely to be caused by the extinguishment of public rights. The decision of the Collector is final, subject to appeal to the Commissioner. If compensation is awarded, it should be paid within six months from the date of the final order, with interest if not paid on time."
4. How does the Code determine compensation for the extinction of public rights over a Government road?,"The Maharashtra Land Revenue Code, 1966 determines compensation for the extinction of public rights over a Government road by having the Collector conduct an inquiry to determine the amount of compensation that should be given in cases where substantial loss or damage is likely to be caused by the proposed extinction of public rights. The Collector will follow the provisions of sections 9, 10, 11, 12, 13, 14, and 15 of the Land Acquisition Act, 1894, to determine the amount of compensation. However, it is important to note that no compensation shall be awarded for the extinction or diminution of the rights of public highway over such Government road. The decision of the Collector regarding the extinguishment of public rights and the amount of compensation is final, subject to the decision of the Commissioner in appeal. If payment is not made within six months from the final order, the Collector is required to pay the amount awarded with interest at the rate of six percent per annum."
"5. What provisions of the Land Acquisition Act, 1894 apply to the determination of compensation under the Maharashtra Land Revenue Code, 1966?","The provisions of sections 9, 10, 11, 12, 13, 14, and 15 of the Land Acquisition Act, 1894 apply to the determination of compensation under the Maharashtra Land Revenue Code, 1966."
6. What is the role of the Collector in determining compensation for the extinction of public rights over a Government road?,"The role of the Collector in determining compensation for the extinction of public rights over a Government road is outlined in the Maharashtra Land Revenue Code, 1966. The Collector is responsible for making a declaration, determining the amount of compensation for substantial loss or damage likely to be caused by the extinction of public rights, and conducting proceedings similar to those in the Land Acquisition Act, 1894, to determine the compensation amount. The decision of the Collector regarding the extinguishment of public rights and the compensation amount is final, subject to appeal to the Commissioner. If payment is not made within six months, the Collector must pay the awarded amount with interest."
7. What happens if compensation is not paid within six months from the final order according to the Code?,"If compensation is not paid within six months from the final order according to the Maharashtra Land Revenue Code, the Collector is required to pay the amount awarded along with interest at the rate of six percent per annum from the date of the final order."
8. Under what circumstances can a survey officer or the Collector set apart unoccupied lands for specific purposes under the Code?,"A survey officer or the Collector can set apart unoccupied lands for specific purposes under the Maharashtra Land Revenue Code when it is deemed necessary for purposes such as forest or fuel reserve, free pasturage of village cattle, grass or fodder reserve, burial or cremation ground, gaothan, camping ground, threshing floor, bazaar, skinning ground, public purposes like roads, lanes, parks, drains, or any other public purpose. This allocation of lands must be done in accordance with the provisions of the Code and with the sanction of the Collector."
9. How is the right of grazing on free pasturage lands regulated according to the Code?,"The right of grazing on free pasturage lands is regulated according to rules made by the State Government as mentioned in the Maharashtra Land Revenue Code. The rules set by the State Government dictate how the grazing rights on these lands are to be managed and allocated to the cattle of the village or villages to which the lands belong or have been assigned. The Collector's decision in any dispute regarding the right of grazing is conclusive, subject to one appeal according to the provisions of the Code."
10. What are the consequences for unauthorized removal of natural products from lands set apart for special purposes or owned by the Government under the Code?,"Any person who unauthorizedly removes natural products (excluding trees) from lands set apart for special purposes or owned by the Government is liable to the Government for the value of the products. In addition, they may face a fine not exceeding five times the value of the natural product removed. The value of the product and the fine are recoverable from the individual as an arrear of land revenue."
"1. According to the Maharashtra Land Revenue Code, 1966, who has the right to all trees standing or growing on occupied land?","According to the Maharashtra Land Revenue Code, 1966, the right to all trees standing or growing on any occupied land shall vest in the holder of that land."
2. What can the State Government do if it deems it necessary to prohibit or regulate the cutting of certain trees for preventing erosion of soil?,"If the State Government deems it necessary to prohibit or regulate the cutting of certain trees for preventing erosion of soil, it can do so by making rules to prohibit or regulate the cutting of such trees as per the Maharashtra Land Revenue Code, 1966."
3. How can an occupant in an area with existing rights in trees apply to purchase the right to those trees under the Code?,"An occupant in an area with existing rights in trees can apply to purchase the right to those trees through the Collector. The occupant can apply to the Collector to fix the value of such right and then purchase the right through the Collector in the manner prescribed by the rules of the Maharashtra Land Revenue Code, 1966."
4. What happens to any sale or agreement for sale of trees made before the commencement of the Code in anticipation of the vesting of such trees in the individual?,"Any sale or agreement for the sale of trees made before the commencement of the Maharashtra Land Revenue Code, 1966, in anticipation of the vesting of such trees in the individual, shall be void. Additionally, any consideration given for such sale or agreement shall be refunded."
"5. Who has the right to trees, brushwood, jungle, or other natural products growing on land set apart for forest reserves under section 22 of the Code?","The right to trees, brushwood, jungle, or other natural products growing on land set apart for forest reserves under section 22 of the Maharashtra Land Revenue Code, 1966, vests in the State Government."
6. What are the consequences for unauthorizedly felling and appropriating any tree or portion thereof that is the property of the Government?,"Any person who shall unauthorizedly fell and appropriate any tree or any portion thereof which is the property of the Government shall be liable to the Government for the value thereof. This value shall be recoverable from the individual as an arrear of land revenue. Additionally, the person may face penalties under the provisions of the Maharashtra Land Revenue Code, 1966 for the occupation of the land or any other violations. This is in addition to any criminal proceedings that may be initiated against the individual for the unauthorized appropriation of Government property."
7. In what circumstances can villagers and agriculturists take firewood from waste land outside reserved forests without payment of tax?,"Villagers and agriculturists can take firewood from waste land outside reserved forests without payment of tax under the following circumstances:
- In waste land outside reserved forests, villagers in general may take firewood.
- Agriculturists can take such wood as may be required for agricultural implements.
- This is subject to rules made by the State Government."
8. How are the privileges of villagers or certain classes of persons to cut firewood or timber regulated in lands set apart for forest reserves or in cases of alienated land?,"The privileges of villagers or certain classes of persons to cut firewood or timber in lands set apart for forest reserves or in cases of alienated land are regulated by rules made by the State Government. In case of any dispute regarding the mode or time of exercising these privileges, the decision of the Collector is final, subject to one appeal only in accordance with the provisions of the Maharashtra Land Revenue Code, 1966."
"9. What are the different classes of persons holding land from the State under the Maharashtra Land Revenue Code, 1966?","The different classes of persons holding land from the State under the Maharashtra Land Revenue Code, 1966 are as follows:

1. Occupants - Class I
2. Occupants - Class II
3. Government lessees"
10. How can a dispute regarding the mode or time of exercising privileges to cut firewood or timber be resolved under the Code?,"In case of a dispute regarding the mode or time of exercising privileges to cut firewood or timber as per the Maharashtra Land Revenue Code, 1966, the decision of the Collector shall be final, subject to one appeal only in accordance with the provisions of the Code."
"1. What is the Maharashtra Land Revenue Code, 1966 and when was it enacted?","The Maharashtra Land Revenue Code, 1966 is a piece of legislation that was enacted in 1966. It governs various aspects related to land revenue in the state of Maharashtra."
2. What are the criteria for occupants to be classified under Class I and Class II according to the Code?,"According to the Maharashtra Land Revenue Code, occupants classified under Class I are those who hold unalienated land in perpetuity without any restrictions on the right to transfer. Occupants classified under Class II are those who hold unalienated land in perpetuity subject to restrictions on the right to transfer."
3. What are the duties of the Tahsildar in relation to unoccupied land granted under the provisions of the Code?,The duties of the Tahsildar in relation to unoccupied land granted under the provisions of the Maharashtra Land Revenue Code include calling upon the person granted the land to enter upon the occupation of the land without delay in accordance with the terms of the grant.
4. What authority does the Collector have in relation to unalienated land under the Code?,"The Collector has the authority to require the payment of a price for unalienated land, sell the land by auction, and annex conditions to the grant as prescribed by rules made by the State Government. The price paid for the land includes the price of the Government right to all trees on the land and is recoverable as an arrear of land revenue."
5. How is the price for unalienated land determined and what conditions can be annexed to the grant by the Collector?,The price for unalienated land can be determined by the Collector subject to rules made by the State Government. The Collector can require the payment of a price for unalienated land or sell the land by auction. The price paid for the land includes the price of the Government right to all trees on the land and is recoverable as an arrear of land revenue. The conditions that can be annexed to the grant by the Collector may be prescribed by rules made by the State Government before the land is entered upon under section 30.
6. What provisions are made for the disposal of alluvial land under the Code?,"Under the Maharashtra Land Revenue Code, 1966, provisions are made for the disposal of alluvial land by the Collector. When it appears to the Collector that any alluvial land, which vests under any law in the State Government, may be disposed of with due regard to the interests of the public revenue, the Collector can take action. The specific procedures and conditions for the disposal of alluvial land are subject to rules made by the State Government."
