Question,Answer
3. How often can the State Government revise the rates for the use of water as mentioned in section 70 of the Code?,The State Government can revise the rates for the use of water as mentioned in section 70 of the Maharashtra Land Revenue Code at such periods as it determines. The specific frequency of revision is not mentioned in the provided context.
4. What are the purposes for which the State Government can impose a cess under the provisions of the Code?,"The State Government can impose a cess under the provisions of the Maharashtra Land Revenue Code for purposes of local improvement, such as schools, village and district roads, bridges, tanks, wells, accommodation for travelers, and similar purposes."
5. What happens if there are arrears of land revenue due on account of land by any landholder according to the Code?,"Arrears of land revenue due on account of land by any landholder shall be a paramount charge on the holding and every part thereof. Failure to pay the arrears may lead to the occupancy or alienated holding, along with all rights of the occupant or holder over trees, crops, buildings, and other attached things, being liable to forfeiture. The Collector may then levy the sums in arrears by selling the occupancy or alienated holding, or dispose of it in other ways as per the rules. The holding, when disposed of, will be freed from all tenures, rights, encumbrances, and equities created in favor of any person other than the Government."
"6. In case of forfeiture of an occupancy or alienated holding under the Code, what options does the Collector have for disposal of the holding?","In case of forfeiture of an occupancy or alienated holding under the Maharashtra Land Revenue Code, the Collector has the option to either levy all sums in arrears by sale of the occupancy or alienated holding, or dispose of the holding in any other manner as per rules made in this regard. The Collector may also take possession of the holding and lease it to the former occupant or superior holder, or to any other person for a period of one year at a time."
7. How long can the Collector lease an occupancy or alienated holding to the former occupant or superior holder under the Code?,The Collector can lease an occupancy or alienated holding to the former occupant or superior holder for a period of one year at a time under the Maharashtra Land Revenue Code.
8. What is the time limit for the former occupant or superior holder to apply for restoration of the occupancy or alienated holding after it has been forfeited?,The former occupant or superior holder has a time limit of three years from the date on which the Collector takes possession of the occupancy or alienated holding to apply for restoration.
"1. What is the penalty for failing to pay arrears of land revenue as stated in the Maharashtra Land Revenue Code, 1966?","The penalty for failing to pay arrears of land revenue as stated in the Maharashtra Land Revenue Code, 1966 is equal to three times the assessment."
2. How can a person prevent the forfeiture of their occupancy under the provisions of section 72 of the Code?,"In order to prevent the forfeiture of any occupancy under the provisions of section 72 of the Maharashtra Land Revenue Code, 1966, through non-payment of the land revenue due on account thereof by the person primarily liable for payment, any person interested can pay on behalf of such person all sums due on account of land revenue. The Collector shall then receive the payment, thus preventing the forfeiture of the occupancy."
3. What is the procedure for obtaining a certified extract from the register of alienated lands in case the original sanad is lost or destroyed?,"To obtain a certified extract from the register of alienated lands in case the original sanad is lost or destroyed, the interested person must show to the satisfaction of the Collector that the sanad has been permanently lost or destroyed. Then, subject to the rules and payment of fees prescribed by the State Government, the Collector may grant a certified extract from the register to the person deemed entitled to it. This certified extract will be endorsed by the Collector to indicate that it has been issued in lieu of the lost or destroyed sanad and will be considered as valid proof of title."
4. What are the requirements for revenue officers and Talathis when receiving payment of land revenue according to the Code?,"Every revenue officer and every Talathi receiving payment of land revenue must give a written receipt for the payment at the time it is received. Additionally, every superior holder who is entitled to recover rent or land revenue directly from an inferior holder must also provide a written receipt for the amount received at the time of payment. Failure to provide a receipt as required may result in a penalty not exceeding double the amount paid, as per the provisions of the Maharashtra Land Revenue Code, 1966."
5. What penalty can be imposed on a person who fails to provide a written receipt for the payment of land revenue as required by section 76 of the Code?,"If any person fails to provide a written receipt for the payment of land revenue as required by section 76 of the Maharashtra Land Revenue Code, 1966, they can be liable to pay a penalty not exceeding double the amount paid."
"6. Under what circumstances can the State Government grant reduction, suspension, or remission of land revenue in any area in any year according to the Code?","The State Government can grant reduction, suspension, or remission of land revenue in any area in any year due to failure of crops, floods, or any other natural calamity, or for any other reason whatsoever as per the Maharashtra Land Revenue Code, 1966."
"1. What is the Maharashtra Land Revenue Code, 1966 about?","The Maharashtra Land Revenue Code, 1966 is a legal document that outlines the regulations and procedures related to revenue surveys, assessment, and settlement of land revenue in the state of Maharashtra. It provides guidelines for conducting surveys of land for the purpose of recording and preserving rights connected to the land, as well as for other similar purposes related to land revenue."
2. What is the purpose of a revenue survey as mentioned in the text?,"The purpose of a revenue survey, as mentioned in the text, is to assess or settle the land revenue, record and preserve rights connected to the land, or for any other similar purpose related to land assessment and management."
"3. Who has the authority to direct the survey of land in any part of the state according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, the State Government has the authority to direct the survey of land in any part of the state."
4. What is the role of the State Government in controlling a revenue survey?,"The role of the State Government in controlling a revenue survey is that the State Government has the authority to direct the survey of any land in any part of the state for the assessment or settlement of land revenue, record and preservation of rights, or any other similar purpose. The control of every revenue survey vests in and is exercised by the State Government."
5. How can holders of land and other interested parties be required to assist in the measurement or classification of land during a survey?,"Holders of land and other interested parties can be required to assist in the measurement or classification of land during a survey by the survey officer deputing to conduct the survey. This can be done through general notices or summonses requiring their attendance in person or by legally constituted agents who can answer relevant questions. Additionally, the survey officer can call upon them to assist in the measurement or classification by providing flag-holders or even hiring labor if necessary, with the costs being assessed on the land surveyed for collection as a revenue demand."
"6. What are the provisions regarding the minimum extent of a survey number for land used for agriculture only as per the Maharashtra Land Revenue Code, 1966?","As per the Maharashtra Land Revenue Code, 1966, the provisions regarding the minimum extent of a survey number for land used for agriculture only state that no survey number comprising land used for agriculture only shall be made of less extent than the minimum to be fixed from time to time for the several classes of land in each district by the Director of Land Records, with the sanction of the State Government. A record of the minima so fixed shall be kept in the office of the Tahsildar in each taluka, and shall be open to the inspection of the public at reasonable times."
7. How can the cost of employing hired labor for survey operations be assessed and collected according to the code?,"The cost of employing hired labor for survey operations can be assessed and collected as a revenue demand. In the event of a necessity for employing hired labor for survey operations, the cost, along with all contingent expenses, can be assessed on the land surveyed and collected as a revenue demand."
8. What is the significance of keeping a record of the minima fixed by the Director of Land Records in the office of the Tahsildar in each taluka?,Keeping a record of the minima fixed by the Director of Land Records in the office of the Tahsildar in each taluka is significant because it allows for transparency and accessibility to the public. This record ensures that the minimum extent of survey numbers for different classes of land in each district is known and can be referred to by interested parties. It helps in maintaining consistency and standardization in land surveying practices.
9. Under what circumstances can survey numbers be made of less extent than the minima fixed by the Director of Land Records?,"Survey numbers can be made of less extent than the minima fixed by the Director of Land Records if they have already been made of less extent than the minima fixed, or if the Director of Land Records has given authority either generally or in a specific instance to make them of less extent. Additionally, any survey number separately recognized in the land records will be considered authorizedly made, regardless of its extent."
10. How can a survey officer require suitable service from holders of land and others involved in the survey process?,"A survey officer can require suitable service from holders of land and others involved in the survey process by issuing a general notice or summons to attend the survey. The officers can request the attendance of landholders and individuals with an interest in the land, either in person or through a legally constituted agent. Additionally, the survey officer can call upon taluka and village officers to provide assistance in the survey operations as required by law or usage."
"1. What is the Maharashtra Land Revenue Code, 1966 about?","The Maharashtra Land Revenue Code, 1966 is a legal document that outlines regulations and procedures related to land revenue, survey, assessment, partition, and other land-related matters in the state of Maharashtra, India. It provides guidelines for the State Government to direct fresh surveys, revise assessments, enter survey numbers in records, partition holdings, and make divisions of survey numbers into new survey numbers or sub-divisions."
2. Under what circumstances can the State Government direct a fresh survey or any subsidiary operation?,"The State Government can direct a fresh survey or any operation subsidiary thereto at any time, especially when changes in the condition of the soil of an area or errors in classification necessitate reclassification."
"3. What are the provisions regarding the classification of soil in the Maharashtra Land Revenue Code, 1966?","The Maharashtra Land Revenue Code, 1966 allows for the State Government to direct a fresh survey or any operation subsidiary to it at any time. However, if a general classification of the soil of an area has been made a second time or an original classification has been approved as final, no reclassification can be made unless the State Government deems it necessary due to changes in soil conditions or errors in classification."
4. How are the area and assessment of survey numbers and sub-divisions recorded according to the rules made by the State Government?,The area and assessment of survey numbers and sub-divisions are recorded in such records as may be maintained under the rules made by the State Government in that behalf.
"5. How can a holding be partitioned according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, a holding can be partitioned in the following manner:

1. A holding may be partitioned on the decree of a civil court or any application of co-holders.
2. If there are more than one co-holder in a holding, any co-holder may apply to the Collector for a partition of their share.
3. The Collector may, after hearing the co-holder, divide the holding and apportion the assessment of the holding in accordance with the rules made by the State Government under the Code.
4. Expenses incurred in making the partition of a holding paying revenue to the State Government shall be recoverable as a revenue demand from the co-holders at whose request the partition is made, or from the persons interested in the partition."
6. What is the process for partitioning a holding with multiple co-holders?,"The process for partitioning a holding with multiple co-holders involves the following steps:

1. Any co-holder can apply to the Collector for a partition of their share in the holding.
2. The Collector, after hearing the co-holder, can divide the holding and apportion the assessment of the holding according to the rules set by the State Government.
3. If there is a question regarding title, no partition will be made until the question is decided by a civil suit.
4. Expenses incurred in making the partition can be recovered as a revenue demand from the co-holders requesting the partition or from the persons interested in the partition.

This process is subject to the provisions of the Bombay Prevention of Fragmentation and Consolidation of Holdings Act, 1947."
"7. How are expenses incurred in making a partition of a holding recovered according to the Maharashtra Land Revenue Code, 1966?","Expenses properly incurred in making a partition of a holding paying revenue to the State Government shall be recoverable as a revenue demand in such proportion as the Collector may think fit from the co-holders at whose request the partition is made, or from the persons interested in the partition."
"8. Under what circumstances can cultivable land be used for non-agricultural purposes according to the Maharashtra Land Revenue Code, 1966?","Cultivable land can be permitted to be used for non-agricultural purposes under the Maharashtra Land Revenue Code, 1966, when any portion of cultivable land is permitted to be used under the provisions of the Code for any non-agricultural purpose."
9. How can a portion of land be made into a separate survey number with the sanction of the Collector?,"A portion of land can be made into a separate survey number with the sanction of the Collector by following the provisions outlined in section 86 of the Maharashtra Land Revenue Code, 1966. This involves obtaining permission from the Collector when using cultivable land for non-agricultural purposes, specially assigning land under section 22, or altering the assessment of land. The Collector's approval is required to create a separate survey number for the designated portion of land."
"10. What are the provisions regarding the division of survey numbers into sub-divisions under the Maharashtra Land Revenue Code, 1966?","Under the Maharashtra Land Revenue Code, 1966, survey numbers may be divided into sub-divisions as required in view of the acquisition of rights in land or for any other reason. This division into sub-divisions is subject to the provisions of the Bombay Prevention of Fragmentation and Consolidation of Holdings Act, 1947."
"1. What is the provision regarding the division of survey numbers into sub-divisions and the fixing of assessment in the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, the provision regarding the division of survey numbers into sub-divisions and the fixing of assessment states that it shall be carried out and revised in accordance with the rules made by the State Government. The total amount of assessment of any survey number or sub-division cannot be enhanced during a fixed term unless liable to alteration under section 67. The area and assessment of sub-divisions shall be entered in prescribed land records by the State Government."
2. Under what circumstances can the total amount of assessment of a survey number or sub-division be enhanced according to the Code?,"The total amount of assessment of a survey number or sub-division can be enhanced during any term if such assessment is liable to alteration under section 67 of the Maharashtra Land Revenue Code, 1966."
3. What is the requirement for the area and assessment of sub-divisions in the land records as per the State Government's prescription?,The requirement for the area and assessment of sub-divisions in the land records is that they shall be entered as prescribed by the State Government.
4. How does the Settlement Officer assess land revenue for holdings consisting of several khasra numbers in the State?,The Settlement Officer assesses the land revenue payable for each khasra number in the holding consisting of several khasra numbers and records them as separate survey numbers.
"5. What is the provision regarding the production of title-deeds for subsequent surveys of land under the Maharashtra Land Revenue Code, 1966?","Under the Maharashtra Land Revenue Code, 1966, specifically in Section 88, it is stated that once the original survey of any land has been completed, approved, and confirmed by the State Government, no person shall be compelled to produce their title-deeds for subsequent surveys of the same land."
6. How are surveys made before the commencement of the Code deemed to have been made under the provisions of Chapter VI of the Code?,Surveys made before the commencement of the Maharashtra Land Revenue Code are deemed to have been made under Chapter VI of the Code as per Section 89.
"7. What is the definition of ""classification value"" in Chapter VI of the Maharashtra Land Revenue Code, 1966?","In Chapter VI of the Maharashtra Land Revenue Code, 1966, ""classification value"" is defined as the relative valuation of land as recorded in the survey records, taking into account factors such as soil, situation, water, and other advantages. It also includes the valuation of land expressed in terms of soil units based on the factor scale in specific districts and talukas mentioned in the Code."
"8. What does the term ""class of land"" refer to in the context of agricultural land assessment and settlement?","In the context of agricultural land assessment and settlement, the term ""class of land"" refers to specific categories or types of land, such as warkas, dry crop, paddy or rice, or garden land. Each class of land may have different characteristics, soil types, water availability, and other factors that determine its valuation and assessment for land revenue purposes."
9. What is the significance of the factor scale in determining the relative value of each class of land in the sanctioned scheme of soil classification?,"The factor scale is used to determine the relative value of each class of land in the sanctioned scheme of soil classification. It helps in assessing the classification value of land based on factors like soil quality, location, water availability, and other advantages. This scale aids in establishing a standardized method for evaluating different classes of land, which is essential for the assessment and settlement of land revenue in agricultural areas."
"10. How is a ""group"" defined in the context of land revenue assessment, and what criteria are considered for grouping lands in a zone?","In the context of land revenue assessment, a ""group"" refers to all lands in a zone that are considered sufficiently homogeneous in respect of matters enumerated in sub-section (2) of section 94 to allow for the application of the same standard rates for the assessment of land revenue. The criteria considered for grouping lands in a zone include factors such as soil type, situation, water availability, and other advantages that make the lands similar enough to be assessed using the same standard rates."
