Question,Answer
8. How can the State Government make appointments under section 7 of the Code?,"The State Government can make appointments under section 7 of the Maharashtra Land Revenue Code by appointing officers such as ""Settlement Commissioner"", ""Director of Land Records"", ""Deputy Director of Land Records"", ""Superintendents of Land Records"", ""Settlement Officers"", ""District Inspectors of Land Records"", and ""Survey Tahsildars"", or by designating other necessary officers as deemed requisite."
9. What specific provision was added to the Code by Mah. 30 of 1968 regarding the State Government's powers to make appointments?,The specific provision added to the Maharashtra Land Revenue Code by Mah. 30 of 1968 regarding the State Government's powers to make appointments is Section 9A.
"1. According to the Maharashtra Land Revenue Code, 1966, who may temporarily succeed a Collector or Tahsildar if they are unable to perform their duties?","If a Collector or Tahsildar is disabled from performing his duties or vacates their office, the temporary successor would be the Additional Collector, or if there is no Additional Collector, the Assistant or Deputy Collector of the highest rank in the district. If the Tahsildar is unable to perform their duties, the temporary successor would be the Additional Tahsildar, or if there is no Additional Tahsildar, the Naib-Tahsildar or the senior-most subordinate Revenue Officer in the taluka."
"2. How are revenue officers in a division and district subordinate to the State Government, Commissioner, and Collector, respectively?","Revenue officers in a division are subordinate to the Commissioner, and revenue officers in a district are subordinate to the Collector. This hierarchy is established unless the State Government directs otherwise. All revenue officers are ultimately subordinate to the State Government."
"3. When does the appointment of officers of and above the rank of Tahsildar take effect according to the Maharashtra Land Revenue Code, 1966?","The appointment of officers of and above the rank of Tahsildar, according to the Maharashtra Land Revenue Code, 1966, takes effect from the date on which an officer assumes charge of his office."
"4. What powers and duties are conferred upon revenue officers of and above the rank of a Tahsildar under the Maharashtra Land Revenue Code, 1966?","Revenue officers of and above the rank of a Tahsildar under the Maharashtra Land Revenue Code, 1966, are conferred with the powers and duties to exercise the functions imposed on them under the Code or any other prevailing law. They also have the authority to oversee the Officers subordinate to them within their respective jurisdiction. Additionally, they may have powers of appeal, superintendence, and control as prescribed by the State Government. The Collector, specifically, can exercise all the powers and duties of an Assistant or Deputy Collector throughout his district."
"5. How are temporary vacancies in the office of a Collector or Tahsildar addressed according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, if a Collector or Tahsildar is disabled from performing their duties, vacates their office, leaves their jurisdiction, or dies, the Additional Collector or the Assistant/Deputy Collector of the highest rank in the district would succeed temporarily to the office of the Collector or Tahsildar. This temporary successor would hold the position until the original Collector or Tahsildar resumes charge or until a successor is duly appointed and takes charge of the appointment."
"1. What powers and duties are assigned to revenue officers under the Maharashtra Land Revenue Code, 1966?","The powers and duties assigned to revenue officers under the Maharashtra Land Revenue Code, 1966 include exercising powers delegated by Collectors, carrying out duties and functions as directed by the State Government, and performing tasks related to the survey, settlement, and record of rights. They also have the authority to assign duties to their subordinates and act according to the instructions of the State Government."
2. How can a Tahsildar exercise powers delegated by the Collectors under the general or special orders of the State Government?,"A Tahsildar can exercise powers delegated by the Collectors under the general or special orders of the State Government by following the provisions outlined in the Maharashtra Land Revenue Code, 1966. The Tahsildar must adhere to the control, general or special orders of the State Government, and carry out the duties and functions assigned to them for the purpose of implementing the provisions of any law in force."
"3. What powers and duties can the Additional Commissioner, Assistant Commissioner, Additional Collector, and Additional Tahsildar exercise within their jurisdiction as per the provisions of the Code?","The Additional Commissioner, Assistant Commissioner, Additional Collector, and Additional Tahsildar can exercise such powers and discharge such duties and functions within their jurisdiction as the State Government may confer or impose on them by an order in writing for the purpose of carrying out the provisions of any law in force. They can also exercise powers and duties of higher-ranking officials like the Commissioner, Collector, or Tahsildar as directed by the State Government through notification in the Official Gazette."
"4. How can a Sub-Divisional Officer perform duties and exercise powers conferred upon a Collector under the Maharashtra Land Revenue Code, 1966?","A Sub-Divisional Officer can perform all the duties and functions and exercise all the powers conferred upon a Collector by the Maharashtra Land Revenue Code, 1966, in relation to the sub-division in their charge. However, the Collector may direct the Sub-Divisional Officer not to perform certain duties or exercise certain powers and reserve them for themselves or assign them to any Assistant or Deputy Collector subordinate to the Collector."
5. Under what circumstances can a Collector direct a Sub-Divisional Officer not to perform certain duties or exercise certain powers?,A Collector can direct a Sub-Divisional Officer not to perform certain duties or exercise certain powers when the Collector deems it fit to do so. This decision can be made based on the specific circumstances or requirements of the situation.
"6. How can a Collector assign duties, functions, and powers of a Tahsildar to a Naib-Tahsildar within his local limits?","A Collector can assign duties, functions, and powers of a Tahsildar to a Naib-Tahsildar within his local limits subject to the orders of the State Government and the Commissioner. This assignment can be made based on what the Collector deems fit at that particular time."
"7. What instructions do Revenue Officers need to follow in matters not specifically provided for by law according to the Maharashtra Land Revenue Code, 1966?","In matters not specifically provided for by law, Revenue Officers need to follow the instructions of the State Government according to the Maharashtra Land Revenue Code, 1966."
"8. What powers and duties are vested with survey officers in relation to the survey, settlement, and record of rights as per the Code?","Survey officers are vested with the cognizance of all matters connected with the survey, settlement, and record of rights. They are responsible for exercising all powers and performing all duties as provided by the Maharashtra Land Revenue Code, 1966 or any other law in force related to these matters."
1. What powers and duties are exercised by a Deputy Director of Land Records as mentioned in the text?,"A Deputy Director of Land Records shall exercise powers and discharge duties and functions that are exercised or discharged by the Director of Land Records under the Maharashtra Land Revenue Code, 1966, or under any law in force, as directed by the State Government or Director of Land Records."
"2. What responsibilities does a Talathi have according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, a Talathi is responsible for the collection of land revenue and all amounts recoverable as arrears of land revenue, as well as for the maintenance of the record of rights. Additionally, a Talathi is required to perform all duties and functions as provided by the Code, any other law in force, or by the order of the State Government."
"3. Who determines what registers, accounts, and other records should be kept by a Talathi?","Subject to the general orders of the State Government and the Commissioner, the Collector determines from time to time what registers, accounts, and other records shall be kept by a Talathi."
4. What duties are assigned to revenue officers as per the State Government's directions?,"As per the State Government's directions, revenue officers are assigned the duty of determining what registers, accounts, and other records should be kept by a Talathi."
5. How can the State Government confer powers on a person to act as an Assistant or Deputy Collector or Tahsildar?,The State Government can confer powers on a person to act as an Assistant or Deputy Collector or Tahsildar by providing that person with the prescribed qualifications as per the notification in the Official Gazette.
"6. What provisions are made for the recovery of money, papers, or other government property in the text?","Provisions for the recovery of money, papers, or other government property are outlined in Section 17 of the Maharashtra Land Revenue Code, 1966. According to this section, the Collector, Superintendent of Land Records, or any other officer designated by them can demand the delivery of public money, papers, or other property of the State Government from revenue officers or individuals who were previously employed in their department. This demand must be made in writing under the officer's signature and official seal, if used. If the money, papers, or property are not delivered as directed, further actions can be taken as specified in the section."
"7. How does a revenue officer or other designated officer request the delivery of money, papers, or property from a person as per the Maharashtra Land Revenue Code, 1966?","A revenue officer or other designated officer can request the delivery of money, papers, or property from a person by issuing a written notice under their signature and official seal, if they use one. This written notice will specify the amount of money, the particular papers, or the property that needs to be delivered, and it will also mention the date, time, and place for the delivery. If the person does not comply with the request, the Collector, Superintendent, or the designated officer can take further action as per the provisions of the Maharashtra Land Revenue Code, 1966."
"8. What is the process for demanding money, papers, or property to be delivered as specified in the text?","The process for demanding money, papers, or property to be delivered as specified in the text involves the Collector, Superintendent of Land Records, or any other officer deputed by them to issue a written notice under their signature and official seal (if used) to the person who owes the money or is in possession of the papers or property. This notice will specify the amount of money, the particular papers or property, the date, and the place for delivery. If the person does not comply with the demand, further action can be taken as per the provisions of the Maharashtra Land Revenue Code, 1966."
