intent,question
q12,What do you know about rights do individuals have to trees in their holdings as outlined in the Code?
q12,Can you provide rights do individuals have to trees in their holdings as outlined in the Code?
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q13,"How are trees and forests vested in the Government according to the Maharashtra Land Revenue Code, 1966?"
q14,"What is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q14,"Can you tell me is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q14,"How is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q14,"What is the is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q14,"What do you know about is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q14,"What are the is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q14,"What are is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q14,"Can you provide is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q14,"What can you say about is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q14,"Can you describe is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q14,"What is is the procedure for the regulation of cutting and supply of wood, etc., as stated in the Code?"
q15,What are the classes of persons holding land according to the Code?
q15,What can you say about are the classes of persons holding land according to the Code?
q15,What are are the classes of persons holding land according to the Code?
q15,Can you tell me are the classes of persons holding land according to the Code?
q15,What are the are the classes of persons holding land according to the Code?
q15,What is are the classes of persons holding land according to the Code?
q15,How are the classes of persons holding land according to the Code?
q15,Can you describe are the classes of persons holding land according to the Code?
q15,Can you provide are the classes of persons holding land according to the Code?
q15,What do you know about are the classes of persons holding land according to the Code?
q15,What is the are the classes of persons holding land according to the Code?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q16,How does the Code address the occupation of unalienated land granted under its provisions?
q17,"What conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q17,"Can you describe conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q17,"What are the conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q17,"What can you say about conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q17,"What is conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q17,"What is the conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q17,"What are conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q17,"How conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q17,"What do you know about conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q17,"Can you provide conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q17,"Can you tell me conditions must be met for unoccupied land to be granted according to the Maharashtra Land Revenue Code, 1966?"
q18,What is the temporary right to alluvial lands of small extent as outlined in the Code?
q18,What do you know about is the temporary right to alluvial lands of small extent as outlined in the Code?
q18,What are the is the temporary right to alluvial lands of small extent as outlined in the Code?
q18,Can you provide is the temporary right to alluvial lands of small extent as outlined in the Code?
q18,How is the temporary right to alluvial lands of small extent as outlined in the Code?
q18,What are is the temporary right to alluvial lands of small extent as outlined in the Code?
q18,What is the is the temporary right to alluvial lands of small extent as outlined in the Code?
q18,Can you tell me is the temporary right to alluvial lands of small extent as outlined in the Code?
q18,What can you say about is the temporary right to alluvial lands of small extent as outlined in the Code?
q18,What is is the temporary right to alluvial lands of small extent as outlined in the Code?
q18,Can you describe is the temporary right to alluvial lands of small extent as outlined in the Code?
q19,What penalties are in place for using land without permission for non-agricultural purposes according to the Code?
q19,What is penalties are in place for using land without permission for non-agricultural purposes according to the Code?
q19,What can you say about penalties are in place for using land without permission for non-agricultural purposes according to the Code?
q19,What do you know about penalties are in place for using land without permission for non-agricultural purposes according to the Code?
q19,Can you describe penalties are in place for using land without permission for non-agricultural purposes according to the Code?
q19,What are penalties are in place for using land without permission for non-agricultural purposes according to the Code?
q19,What is the penalties are in place for using land without permission for non-agricultural purposes according to the Code?
q19,Can you tell me penalties are in place for using land without permission for non-agricultural purposes according to the Code?
q19,Can you provide penalties are in place for using land without permission for non-agricultural purposes according to the Code?
q19,What are the penalties are in place for using land without permission for non-agricultural purposes according to the Code?
q19,How penalties are in place for using land without permission for non-agricultural purposes according to the Code?
