Question,Answer
5. What is the procedure for the State Government to pass orders on the settlement report and objections received?,"The settlement report, along with any objections received and the opinion of the Revenue Tribunal if there was a reference made, is considered by the State Government. The State Government may then pass an order as it deems fit. However, if there is a proposed increase in the standard rate in the settlement report, the State Government cannot make that increase unless a fresh notice has been published in each village affected by the rates, objections have been considered, and the State Government has reviewed them. The orders passed by the State Government are then required to be laid on the Table of each House of the State Legislature."
6. How are decisions regarding any increase in standard rates proposed in the settlement report made by the State Government?,"Decisions regarding any increase in standard rates proposed in the settlement report are made by the State Government after considering the settlement report, objections received, and the opinion of the Revenue Tribunal if a reference is made. The State Government may pass orders as it deems fit, but no increase in the standard rate proposed in the settlement report can be made without publishing a fresh notice in each village affected by such rates and considering any objections received. The decisions made are then laid on the Table of each House of the State Legislature."
"7. What is the requirement for the settlement report, objections, and State Government's orders to be presented to the State Legislature?","The settlement report, objections, State Government's orders, and the opinion of the Revenue Tribunal need to be laid on the Table of each House of the State Legislature."
8. How does the Revenue Tribunal play a role in the review process of the settlement report?,"The Revenue Tribunal plays a role in the review process of the settlement report by conducting an inquiry into objections raised by individuals regarding the report. After receiving objections and any reference made to it by the State Government, the Revenue Tribunal submits its own opinion on the objections and other matters referred to it. This opinion is then considered by the State Government when making a final decision on the settlement report."
9. What are the rules regarding the refund of costs in cases where objections are raised against the settlement report?,The State Government may make rules for the refund of the whole or any portion of the cost in such cases as it deems fit.
"10. How does the Maharashtra Land Revenue Code, 1966 ensure transparency and public participation in the settlement process?","The Maharashtra Land Revenue Code, 1966 ensures transparency and public participation in the settlement process through the following steps:

1. The Settlement Officer is required to hold an inquiry in a prescribed manner for the purpose of the settlement report.
2. The Collector must publish the settlement report in the prescribed manner after its submission.
3. A notice in Marathi must be published in each village stating the existing standard rate and any proposed changes, allowing individuals to submit objections in writing within three months.
4. The Collector must consider objections received and forward the settlement report with remarks to the State Government.
5. Individuals aggrieved by the report can apply to the State Government for reference to the Maharashtra Revenue Tribunal within two months.
6. The Revenue Tribunal conducts an inquiry and submits its opinion on objections raised.
7. The State Government considers the settlement report, objections, and the Revenue Tribunal's opinion, passing orders deemed fit.
8. Any increase in the standard rate proposed in the settlement report requires a fresh notice to be published in each affected village, with objections considered by the State Government.
9. The settlement report, objections, Revenue Tribunal's opinion, and State Government's orders are laid on the Table of each House of the State Legislature.

These steps ensure that the settlement process is transparent, allows for public participation through objections, and provides a mechanism for review and decision-making by the State Government and the Revenue Tribunal."
"1. What is the power of the State Government in exempting land from assessment for water advantages according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, the State Government has the power to exempt any land from assessment under this Chapter for any advantage or specified kind of advantage accruing to it from water. The orders passed by the State Government in this regard are final and cannot be questioned in any court."
"2. How can the State Government withdraw an exemption granted for a land under the Maharashtra Land Revenue Code, 1966?","The State Government can withdraw an exemption granted for a land under the Maharashtra Land Revenue Code, 1966 by publishing a notice in Marathi in the village concerned and after the expiry of a period of six months from the date of the publication of such notice. After this process, the State Government can direct that the land shall be assessed for the advantage for which the exemption was granted."
"3. When does the settlement introduced by the State Government under section 100 of the Maharashtra Land Revenue Code, 1966 come into effect?","After the State Government has passed orders under section 100 and notice of the same has been given in the prescribed manner, the settlement shall be deemed to have been introduced. The land revenue according to such settlement shall be levied from the date as directed by the State Government."
"4. What provisions are made for remission of increased rates in the year following the introduction of a new settlement under the Maharashtra Land Revenue Code, 1966?","In the year following the introduction of a new settlement under the Maharashtra Land Revenue Code, 1966, any occupant who may be dissatisfied with the increased rate imposed by the new assessment on any of the survey numbers or sub-divisions of survey numbers held by him shall receive a remission of the increase if they relinquish such number or sub-division in the manner provided by section 55."
"5. What is the process for a person claiming to hold land free of land revenue to prove their title according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, a person claiming to hold land free of land revenue must prove their title to the satisfaction of the Settlement Officer. If they are able to prove their title, the case will be reported for the orders of the State Government."
"6. How can a Settlement Officer determine and register the proper full assessment on lands wholly exempt from the payment of land revenue under the Maharashtra Land Revenue Code, 1966?","A Settlement Officer can determine and register the proper full assessment on lands wholly exempt from the payment of land revenue under the Maharashtra Land Revenue Code, 1966, by following the provisions of Section 104 of the code. This section allows the Settlement Officer to determine and register the proper full assessment on such lands. The assessment determined and registered will be leviable once the exemption is withdrawn, and it will be considered as fixed under the provisions of the code."
"7. In what circumstances can the State Government direct that additional land revenue be assessed on land during the term of a settlement under the Maharashtra Land Revenue Code, 1966?","The State Government can direct that additional land revenue be assessed on land during the term of a settlement under the Maharashtra Land Revenue Code, 1966 when there are additional advantages accruing to the land from water received on account of irrigation works or improvements on existing irrigation works completed after the State Government has directed the settlement under section 92 and not effected by or."
1. What is the Maharashtra Land Revenue Code of 1966 primarily concerned with?,"The Maharashtra Land Revenue Code of 1966 is primarily concerned with the assessment and settlement of land revenue, including provisions for correction of errors, continuation of existing settlements, and assessment of lands used for non-agricultural purposes."
2. What is the process for correcting errors in the area or assessment of a landholding during the term of settlement?,"During the term of settlement, the Collector may correct any error in the area or assessment of a landholding due to a mistake of survey or arithmetical miscalculation. The process involves the Collector giving notice to the holder of the land before making any corrections. It is important to note that no arrears of land revenue will become payable due to such corrections, but any excess payment made as land revenue will be adjusted against future payments that may become due."
3. How does the Maharashtra Land Revenue Code handle settlement of land revenue that was in operation before the Code came into effect?,All settlement of land revenue that was in operation at the date of the commencement of the Maharashtra Land Revenue Code is deemed to have been made and introduced in accordance with the provisions of the Code. These settlements will continue to remain in operation until the introduction of a revision settlement under the provisions of the Code.
"4. How is the ""full market value"" of land determined in relation to non-agricultural purposes according to the Code?","The ""full market value"" of land in relation to non-agricultural purposes is determined as an amount equal to the market value of the land plus the amount representing the capitalised assessment for the time being in force. The capitalised assessment is determined in a manner prescribed by the Code."
5. What factors are considered when determining the non-agricultural assessment of lands in urban and non-urban areas under the Code?,"When determining the non-agricultural assessment of lands in urban and non-urban areas under the Maharashtra Land Revenue Code, factors such as the use of the land for non-agricultural purposes and the location of the land (urban or non-urban areas) are considered. These factors play a role in assessing and levying the non-agricultural assessment according to the provisions outlined in the Code."
